id,Date,Max Temperature,Min Temperature,lon,lat
284,1979-10-11,41.112,27.782,32.077942,15.2491215
285,1979-10-12,39.724,29.758,32.077942,15.2491215
286,1979-10-13,38.291,29.4,32.077942,15.2491215
287,1979-10-14,39.609,27.659,32.077942,15.2491215
288,1979-10-15,40.801,27.47,32.077942,15.2491215
289,1979-10-16,39.894,28.958,32.077942,15.2491215
290,1979-10-17,37.849,26.798,32.077942,15.2491215
291,1979-10-18,38.585,25.155,32.077942,15.2491215
292,1979-10-19,37.159,26.242,32.077942,15.2491215
293,1979-10-20,37.991,27.467,32.077942,15.2491215
294,1979-10-21,37.006,26.439,32.077942,15.2491215
295,1979-10-22,38.45,26.981,32.077942,15.2491215
296,1979-10-23,39.382,26.323,32.077942,15.2491215
297,1979-10-24,39.429,25.757,32.077942,15.2491215
298,1979-10-25,39.426,27.457,32.077942,15.2491215
299,1979-10-26,40.686,26.81,32.077942,15.2491215
300,1979-10-27,39.336,27.533,32.077942,15.2491215
301,1979-10-28,38.685,25.478,32.077942,15.2491215
302,1979-10-29,38.775,25.784,32.077942,15.2491215
303,1979-10-30,38.882,25.516,32.077942,15.2491215
304,1979-10-31,40.375,24.321,32.077942,15.2491215
305,1979-11-1,39.618,24.395,32.077942,15.2491215
306,1979-11-2,40.125,23.483,32.077942,15.2491215
307,1979-11-3,37.962,23.325,32.077942,15.2491215
308,1979-11-4,37.532,23.577,32.077942,15.2491215
309,1979-11-5,36.482,24.021,32.077942,15.2491215
310,1979-11-6,37.699,22.725,32.077942,15.2491215
311,1979-11-7,37.873,23.003,32.077942,15.2491215
312,1979-11-8,37.49,23.191,32.077942,15.2491215
313,1979-11-9,36.944,24.071,32.077942,15.2491215
314,1979-11-10,37.03,24.188,32.077942,15.2491215
315,1979-11-11,37.964,23.33,32.077942,15.2491215
316,1979-11-12,37.132,22.656,32.077942,15.2491215
317,1979-11-13,37.134,23.26,32.077942,15.2491215
318,1979-11-14,36.236,22.716,32.077942,15.2491215
319,1979-11-15,35.527,21.398,32.077942,15.2491215
320,1979-11-16,36.247,20.922,32.077942,15.2491215
321,1979-11-17,35.828,20.638,32.077942,15.2491215
322,1979-11-18,37.507,20.97,32.077942,15.2491215
323,1979-11-19,37.159,21.391,32.077942,15.2491215
324,1979-11-20,36.467,20.251,32.077942,15.2491215
325,1979-11-21,36.684,20.328,32.077942,15.2491215
326,1979-11-22,35.92,19.034,32.077942,15.2491215
327,1979-11-23,37.152,19.115,32.077942,15.2491215
328,1979-11-24,35.822,19.933,32.077942,15.2491215
329,1979-11-25,36.517,20.366,32.077942,15.2491215
330,1979-11-26,35.031,20.794,32.077942,15.2491215
331,1979-11-27,34.806,20.299,32.077942,15.2491215
332,1979-11-28,34.193,19.409,32.077942,15.2491215
333,1979-11-29,32.294,20.137,32.077942,15.2491215
334,1979-11-30,29.369,15.703,32.077942,15.2491215
335,1979-12-1,28.758,13.441,32.077942,15.2491215
336,1979-12-2,30.673,14.684,32.077942,15.2491215
337,1979-12-3,31.9,15.913,32.077942,15.2491215
338,1979-12-4,32.38,16.27,32.077942,15.2491215
339,1979-12-5,32.67,16.818,32.077942,15.2491215
340,1979-12-6,30.909,17.651,32.077942,15.2491215
341,1979-12-7,28.97,15.653,32.077942,15.2491215
342,1979-12-8,28.746,15.235,32.077942,15.2491215
343,1979-12-9,30.028,14.786,32.077942,15.2491215
344,1979-12-10,29.656,14.212,32.077942,15.2491215
345,1979-12-11,30.193,16.107,32.077942,15.2491215
346,1979-12-12,31.231,17.671,32.077942,15.2491215
347,1979-12-13,32.575,18.803,32.077942,15.2491215
348,1979-12-14,30.852,18.929,32.077942,15.2491215
349,1979-12-15,27.935,15.703,32.077942,15.2491215
350,1979-12-16,27.58,13.474,32.077942,15.2491215
351,1979-12-17,28.866,12.476,32.077942,15.2491215
352,1979-12-18,29.803,14.422,32.077942,15.2491215
353,1979-12-19,29.098,14.284,32.077942,15.2491215
354,1979-12-20,28.228,14.111,32.077942,15.2491215
355,1979-12-21,29.6,13.029,32.077942,15.2491215
356,1979-12-22,30.468,14.047,32.077942,15.2491215
357,1979-12-23,31.179,14.974,32.077942,15.2491215
358,1979-12-24,31.862,15.708,32.077942,15.2491215
359,1979-12-25,31.696,16.214,32.077942,15.2491215
360,1979-12-26,30.977,15.561,32.077942,15.2491215
361,1979-12-27,30.322,15.779,32.077942,15.2491215
362,1979-12-28,30.828,14.631,32.077942,15.2491215
363,1979-12-29,31.496,15.163,32.077942,15.2491215
364,1979-12-30,29.292,15.236,32.077942,15.2491215
365,1979-12-31,29.585,15.563,32.077942,15.2491215
366,1980-1-1,29.584,14.499,32.077942,15.2491215
367,1980-1-2,29.486,14.036,32.077942,15.2491215
368,1980-1-3,31.078,15.082,32.077942,15.2491215
369,1980-1-4,32.149,15.999,32.077942,15.2491215
370,1980-1-5,31.103,17.261,32.077942,15.2491215
371,1980-1-6,27.939,15.898,32.077942,15.2491215
372,1980-1-7,28.774,13.889,32.077942,15.2491215
373,1980-1-8,28.422,12.291,32.077942,15.2491215
374,1980-1-9,28.435,12.502,32.077942,15.2491215
375,1980-1-10,28.356,13.002,32.077942,15.2491215
376,1980-1-11,30.477,12.757,32.077942,15.2491215
377,1980-1-12,31.473,14.173,32.077942,15.2491215
378,1980-1-13,32.272,15.576,32.077942,15.2491215
379,1980-1-14,31.582,17.644,32.077942,15.2491215
380,1980-1-15,31.236,17.038,32.077942,15.2491215
381,1980-1-16,32.284,16.308,32.077942,15.2491215
382,1980-1-17,32.669,15.497,32.077942,15.2491215
383,1980-1-18,33.156,16.353,32.077942,15.2491215
384,1980-1-19,33.503,17.642,32.077942,15.2491215
385,1980-1-20,34.263,18.1,32.077942,15.2491215
386,1980-1-21,35.166,18.877,32.077942,15.2491215
387,1980-1-22,37.604,19.581,32.077942,15.2491215
388,1980-1-23,32.019,19.658,32.077942,15.2491215
389,1980-1-24,28.859,15.407,32.077942,15.2491215
390,1980-1-25,28.182,14.338,32.077942,15.2491215
391,1980-1-26,27.884,13.15,32.077942,15.2491215
392,1980-1-27,29.193,12.972,32.077942,15.2491215
393,1980-1-28,29.959,13.435,32.077942,15.2491215
394,1980-1-29,30.608,14.508,32.077942,15.2491215
395,1980-1-30,30.813,15.464,32.077942,15.2491215
396,1980-1-31,31.745,16.407,32.077942,15.2491215
397,1980-2-1,33.326,16.85,32.077942,15.2491215
398,1980-2-2,33.693,17.373,32.077942,15.2491215
399,1980-2-3,32.679,17.805,32.077942,15.2491215
400,1980-2-4,31.895,18.535,32.077942,15.2491215
401,1980-2-5,30.696,16.164,32.077942,15.2491215
402,1980-2-6,30.94,16.177,32.077942,15.2491215
