id,Date,Precipitation,lon,lat
443,3/18/1980,0,32.077942,15.2491215
444,3/19/1980,0,32.077942,15.2491215
445,3/20/1980,0,32.077942,15.2491215
446,3/21/1980,0,32.077942,15.2491215
447,3/22/1980,0,32.077942,15.2491215
448,3/23/1980,0,32.077942,15.2491215
449,3/24/1980,0,32.077942,15.2491215
450,3/25/1980,0,32.077942,15.2491215
451,3/26/1980,0,32.077942,15.2491215
452,3/27/1980,0,32.077942,15.2491215
453,3/28/1980,0,32.077942,15.2491215
454,3/29/1980,0,32.077942,15.2491215
455,3/30/1980,0,32.077942,15.2491215
456,3/31/1980,0,32.077942,15.2491215
457,4/1/1980,0,32.077942,15.2491215
458,4/2/1980,0,32.077942,15.2491215
459,4/3/1980,0,32.077942,15.2491215
460,4/4/1980,0,32.077942,15.2491215
461,4/5/1980,0,32.077942,15.2491215
462,4/6/1980,0,32.077942,15.2491215
463,4/7/1980,0,32.077942,15.2491215
464,4/8/1980,0,32.077942,15.2491215
465,4/9/1980,0,32.077942,15.2491215
466,4/10/1980,0,32.077942,15.2491215
467,4/11/1980,0,32.077942,15.2491215
468,4/12/1980,0,32.077942,15.2491215
469,4/13/1980,0,32.077942,15.2491215
470,4/14/1980,0,32.077942,15.2491215
471,4/15/1980,0,32.077942,15.2491215
472,4/16/1980,0,32.077942,15.2491215
473,4/17/1980,0,32.077942,15.2491215
474,4/18/1980,0,32.077942,15.2491215
475,4/19/1980,0,32.077942,15.2491215
476,4/20/1980,0,32.077942,15.2491215
477,4/21/1980,0,32.077942,15.2491215
478,4/22/1980,0,32.077942,15.2491215
479,4/23/1980,0,32.077942,15.2491215
480,4/24/1980,0,32.077942,15.2491215
481,4/25/1980,0,32.077942,15.2491215
482,4/26/1980,0,32.077942,15.2491215
483,4/27/1980,0,32.077942,15.2491215
484,4/28/1980,0,32.077942,15.2491215
485,4/29/1980,0,32.077942,15.2491215
486,4/30/1980,0,32.077942,15.2491215
487,5/1/1980,0,32.077942,15.2491215
488,5/2/1980,0,32.077942,15.2491215
489,5/3/1980,0,32.077942,15.2491215
490,5/4/1980,0,32.077942,15.2491215
491,5/5/1980,0,32.077942,15.2491215
492,5/6/1980,0,32.077942,15.2491215
493,5/7/1980,0,32.077942,15.2491215
494,5/8/1980,0,32.077942,15.2491215
495,5/9/1980,0,32.077942,15.2491215
496,5/10/1980,0,32.077942,15.2491215
497,5/11/1980,0,32.077942,15.2491215
498,5/12/1980,0,32.077942,15.2491215
499,5/13/1980,0,32.077942,15.2491215
500,5/14/1980,0,32.077942,15.2491215
501,5/15/1980,0,32.077942,15.2491215
502,5/16/1980,0.066947926,32.077942,15.2491215
503,5/17/1980,0.242042306,32.077942,15.2491215
504,5/18/1980,0.242042472,32.077942,15.2491215
505,5/19/1980,2.035902348,32.077942,15.2491215
506,5/20/1980,0,32.077942,15.2491215
507,5/21/1980,0,32.077942,15.2491215
508,5/22/1980,0,32.077942,15.2491215
509,5/23/1980,0,32.077942,15.2491215
510,5/24/1980,0,32.077942,15.2491215
511,5/25/1980,0,32.077942,15.2491215
512,5/26/1980,0,32.077942,15.2491215
513,5/27/1980,0,32.077942,15.2491215
514,5/28/1980,0,32.077942,15.2491215
515,5/29/1980,0,32.077942,15.2491215
516,5/30/1980,0,32.077942,15.2491215
517,5/31/1980,1.285743434,32.077942,15.2491215
518,6/1/1980,0.092697149,32.077942,15.2491215
519,6/2/1980,0,32.077942,15.2491215
520,6/3/1980,0,32.077942,15.2491215
521,6/4/1980,0,32.077942,15.2491215
522,6/5/1980,0,32.077942,15.2491215
523,6/6/1980,0,32.077942,15.2491215
524,6/7/1980,0,32.077942,15.2491215
525,6/8/1980,0,32.077942,15.2491215
526,6/9/1980,0,32.077942,15.2491215
527,6/10/1980,0,32.077942,15.2491215
528,6/11/1980,0,32.077942,15.2491215
529,6/12/1980,0,32.077942,15.2491215
530,6/13/1980,0,32.077942,15.2491215
531,6/14/1980,0.003433226,32.077942,15.2491215
532,6/15/1980,0.094413816,32.077942,15.2491215
533,6/16/1980,0.37078848,32.077942,15.2491215
534,6/17/1980,0.006866453,32.077942,15.2491215
535,6/18/1980,0.020599366,32.077942,15.2491215
536,6/19/1980,0,32.077942,15.2491215
537,6/20/1980,0.003433226,32.077942,15.2491215
538,6/21/1980,0,32.077942,15.2491215
539,6/22/1980,0,32.077942,15.2491215
540,6/23/1980,0.362205806,32.077942,15.2491215
541,6/24/1980,0.295257535,32.077942,15.2491215
542,6/25/1980,0.416278476,32.077942,15.2491215
543,6/26/1980,0.327873377,32.077942,15.2491215
544,6/27/1980,0.255775687,32.077942,15.2491215
545,6/28/1980,0,32.077942,15.2491215
546,6/29/1980,0.65574648,32.077942,15.2491215
547,6/30/1980,4.056360732,32.077942,15.2491215
548,7/1/1980,2.9517156,32.077942,15.2491215
549,7/2/1980,0.183677501,32.077942,15.2491215
550,7/3/1980,0,32.077942,15.2491215
551,7/4/1980,0,32.077942,15.2491215
552,7/5/1980,0.006866453,32.077942,15.2491215
553,7/6/1980,0.161361698,32.077942,15.2491215
554,7/7/1980,0,32.077942,15.2491215
555,7/8/1980,0,32.077942,15.2491215
556,7/9/1980,0,32.077942,15.2491215
557,7/10/1980,0.056648282,32.077942,15.2491215
558,7/11/1980,0.10814688,32.077942,15.2491215
559,7/12/1980,1.08318384,32.077942,15.2491215
560,7/13/1980,6.42185136,32.077942,15.2491215
561,7/14/1980,4.01344236,32.077942,15.2491215
562,7/15/1980,2.54745324,32.077942,15.2491215
563,7/16/1980,0.017166146,32.077942,15.2491215
564,7/17/1980,0,32.077942,15.2491215
565,7/18/1980,0,32.077942,15.2491215
566,7/19/1980,0.1373292,32.077942,15.2491215
567,7/20/1980,0.736427419,32.077942,15.2491215
568,7/21/1980,0.295257506,32.077942,15.2491215
569,7/22/1980,0.149345388,32.077942,15.2491215
570,7/23/1980,0.115013196,32.077942,15.2491215
571,7/24/1980,0.87718986,32.077942,15.2491215
