id,Date,Max Temperature,Min Temperature,lon,lat,,
264,306720000,44.771,26.968,32.077942,15.2491215,2.64984E+13,
265,306806400,40.442,25.711,32.077942,15.2491215,2.65059E+13,
266,306892800,40.763,26.117,32.077942,15.2491215,2.65133E+13,
267,306979200,41.845,25.593,32.077942,15.2491215,2.65208E+13,
268,307065600,37.774,25.448,32.077942,15.2491215,2.65283E+13,
269,307152000,38.949,25.957,32.077942,15.2491215,2.65357E+13,
270,307238400,39.704,26.679,32.077942,15.2491215,2.65432E+13,
271,307324800,39.671,25.816,32.077942,15.2491215,2.65507E+13,
272,307411200,41.942,26.54,32.077942,15.2491215,2.65581E+13,
273,307497600,41.032,26.65,32.077942,15.2491215,2.65656E+13,
274,307584000,40.87,26.169,32.077942,15.2491215,2.6573E+13,
275,307670400,41.942,25.973,32.077942,15.2491215,2.65805E+13,
276,307756800,41.951,23.9,32.077942,15.2491215,2.6588E+13,
277,307843200,41.183,23.792,32.077942,15.2491215,2.65954E+13,
278,307929600,42.43,24.527,32.077942,15.2491215,2.66029E+13,
279,308016000,40.303,23.554,32.077942,15.2491215,2.66104E+13,
280,308102400,40.952,25.462,32.077942,15.2491215,2.66178E+13,
281,308188800,42.964,24.274,32.077942,15.2491215,2.66253E+13,
282,308275200,39.408,23.831,32.077942,15.2491215,2.66328E+13,
283,308361600,37.883,28.044,32.077942,15.2491215,2.66402E+13,
284,308448000,41.112,27.782,32.077942,15.2491215,2.66477E+13,
285,308534400,39.724,29.758,32.077942,15.2491215,2.66552E+13,
286,308620800,38.291,29.4,32.077942,15.2491215,2.66626E+13,
287,308707200,39.609,27.659,32.077942,15.2491215,2.66701E+13,
288,308793600,40.801,27.47,32.077942,15.2491215,2.66776E+13,
289,308880000,39.894,28.958,32.077942,15.2491215,2.6685E+13,
290,308966400,37.849,26.798,32.077942,15.2491215,2.66925E+13,
291,309052800,38.585,25.155,32.077942,15.2491215,2.67E+13,
292,309139200,37.159,26.242,32.077942,15.2491215,2.67074E+13,
293,309225600,37.991,27.467,32.077942,15.2491215,2.67149E+13,
294,309312000,37.006,26.439,32.077942,15.2491215,2.67223E+13,
295,309398400,38.45,26.981,32.077942,15.2491215,2.67298E+13,
296,309484800,39.382,26.323,32.077942,15.2491215,2.67373E+13,
297,309571200,39.429,25.757,32.077942,15.2491215,2.67447E+13,
298,309657600,39.426,27.457,32.077942,15.2491215,2.67522E+13,
299,309744000,40.686,26.81,32.077942,15.2491215,2.67597E+13,
300,309830400,39.336,27.533,32.077942,15.2491215,2.67671E+13,
301,309916800,38.685,25.478,32.077942,15.2491215,2.67746E+13,
302,310003200,38.775,25.784,32.077942,15.2491215,2.67821E+13,
303,310089600,38.882,25.516,32.077942,15.2491215,2.67895E+13,
304,310176000,40.375,24.321,32.077942,15.2491215,2.6797E+13,
305,310262400,39.618,24.395,32.077942,15.2491215,2.68045E+13,
306,310348800,40.125,23.483,32.077942,15.2491215,2.68119E+13,
307,310435200,37.962,23.325,32.077942,15.2491215,2.68194E+13,
308,310521600,37.532,23.577,32.077942,15.2491215,2.68269E+13,
309,310608000,36.482,24.021,32.077942,15.2491215,2.68343E+13,
310,310694400,37.699,22.725,32.077942,15.2491215,2.68418E+13,
311,310780800,37.873,23.003,32.077942,15.2491215,2.68493E+13,
312,310867200,37.49,23.191,32.077942,15.2491215,2.68567E+13,
313,310953600,36.944,24.071,32.077942,15.2491215,2.68642E+13,
314,311040000,37.03,24.188,32.077942,15.2491215,2.68716E+13,
315,311126400,37.964,23.33,32.077942,15.2491215,2.68791E+13,
316,311212800,37.132,22.656,32.077942,15.2491215,2.68866E+13,
317,311299200,37.134,23.26,32.077942,15.2491215,2.6894E+13,
318,311385600,36.236,22.716,32.077942,15.2491215,2.69015E+13,
319,311472000,35.527,21.398,32.077942,15.2491215,2.6909E+13,
320,311558400,36.247,20.922,32.077942,15.2491215,2.69164E+13,
321,311644800,35.828,20.638,32.077942,15.2491215,2.69239E+13,
322,311731200,37.507,20.97,32.077942,15.2491215,2.69314E+13,
323,311817600,37.159,21.391,32.077942,15.2491215,2.69388E+13,
324,311904000,36.467,20.251,32.077942,15.2491215,2.69463E+13,
325,311990400,36.684,20.328,32.077942,15.2491215,2.69538E+13,
326,312076800,35.92,19.034,32.077942,15.2491215,2.69612E+13,
327,312163200,37.152,19.115,32.077942,15.2491215,2.69687E+13,
328,312249600,35.822,19.933,32.077942,15.2491215,2.69762E+13,
329,312336000,36.517,20.366,32.077942,15.2491215,2.69836E+13,
330,312422400,35.031,20.794,32.077942,15.2491215,2.69911E+13,
331,312508800,34.806,20.299,32.077942,15.2491215,2.69986E+13,
332,312595200,34.193,19.409,32.077942,15.2491215,2.7006E+13,
333,312681600,32.294,20.137,32.077942,15.2491215,2.70135E+13,
334,312768000,29.369,15.703,32.077942,15.2491215,2.70209E+13,
335,312854400,28.758,13.441,32.077942,15.2491215,2.70284E+13,
336,312940800,30.673,14.684,32.077942,15.2491215,2.70359E+13,
337,313027200,31.9,15.913,32.077942,15.2491215,2.70433E+13,
338,313113600,32.38,16.27,32.077942,15.2491215,2.70508E+13,
339,313200000,32.67,16.818,32.077942,15.2491215,2.70583E+13,
340,313286400,30.909,17.651,32.077942,15.2491215,2.70657E+13,
341,313372800,28.97,15.653,32.077942,15.2491215,2.70732E+13,
342,313459200,28.746,15.235,32.077942,15.2491215,2.70807E+13,
343,313545600,30.028,14.786,32.077942,15.2491215,2.70881E+13,
344,313632000,29.656,14.212,32.077942,15.2491215,2.70956E+13,
345,313718400,30.193,16.107,32.077942,15.2491215,2.71031E+13,
346,313804800,31.231,17.671,32.077942,15.2491215,2.71105E+13,
347,313891200,32.575,18.803,32.077942,15.2491215,2.7118E+13,
